0	3187
3	3176
5	3168
7	3160
9	3153
11	3152
13	3140
15	3131
17	3124
19	3120
21	3111
23	3104
25	3095
27	3088
29	3082
31	3075
33	3065
35	3060
37	3056
39	3046
41	3040
43	3032
45	3025
47	3018
49	3010
51	3004
53	2998
55	2992
57	2985
59	2978
61	2970
63	2964
65	2960
67	2949
69	2944
71	2946
73	2931
75	2923
77	2917
79	2910
81	2905
83	2898
85	2890
87	2885
89	2880
91	2873
93	2866
95	2857
97	2852
99	2845
101	2840
103	2833
105	2826
107	2820
109	2813
111	2818
113	2800
115	2795
117	2787
119	2782
121	2776
123	2769
125	2762
127	2757
129	2752
131	2742
133	2748
135	2732
137	2725
139	2720
141	2714
143	2707
145	2704
147	2694
149	2689
151	2683
153	2678
155	2672
157	2666
159	2658
161	2654
163	2645
165	2641
167	2635
169	2630
171	2624
173	2617
175	2611
177	2608
179	2599
181	2593
183	2589
185	2583
187	2577
189	2572
191	2569
193	2560
195	2551
197	2549
199	2544
201	2536
203	2530
205	2524
207	2520
209	2513
211	2508
213	2503
215	2496
217	2491
219	2484
221	2480
223	2474
225	2468
227	2463
229	2458
231	2452
233	2448
235	2441
237	2436
239	2432
241	2426
243	2419
245	2413
247	2409
249	2403
251	2398
253	2394
255	2388
257	2384
259	2376
261	2371
263	2368
265	2360
267	2356
269	2352
271	2345
273	2340
275	2333
277	2331
279	2324
281	2320
283	2312
285	2307
287	2303
289	2298
291	2291
293	2288
295	2283
297	2277
299	2271
301	2266
303	2262
305	2256
307	2256
309	2246
311	2241
313	2236
315	2231
317	2226
319	2224
321	2217
323	2210
325	2208
327	2201
329	2195
331	2192
333	2186
335	2182
337	2176
339	2172
341	2166
343	2163
345	2160
347	2152
349	2148
351	2142
353	2137
355	2133
357	2129
359	2124
361	2119
363	2114
365	2109
367	2104
369	2100
371	2096
373	2090
375	2084
377	2081
379	2078
381	2071
383	2066
385	2064
387	2060
389	2050
391	2048
393	2042
395	2037
397	2032
399	2029
401	2025
403	2020
405	2016
407	2012
409	2005
411	2003
413	1995
415	1991
417	1987
419	1984
421	1974
423	1975
425	1969
427	1964
429	1961
431	1954
433	1952
435	1948
437	1945
439	1940
441	1938
443	1929
445	1927
447	1923
449	1918
451	1912
453	1908
455	1905
457	1901
459	1895
461	1888
463	1888
465	1883
467	1879
469	1876
471	1872
473	1869
475	1856
477	1858
479	1856
481	1850
483	1846
485	1841
487	1837
489	1833
491	1829
493	1825
495	1819
497	1817
499	1812
501	1810
503	1803
505	1799
507	1797
509	1792
511	1788
513	1785
515	1780
517	1779
519	1772
521	1769
523	1764
525	1766
527	1757
529	1751
531	1748
533	1744
535	1740
537	1736
539	1731
541	1730
543	1725
545	1721
547	1717
549	1714
551	1712
553	1706
555	1702
557	1698
559	1695
561	1690
563	1686
565	1681
567	1680
569	1675
571	1672
573	1667
575	1664
577	1660
579	1657
581	1653
583	1648
585	1645
587	1642
589	1637
591	1634
593	1631
595	1628
597	1625
599	1621
601	1616
603	1612
605	1608
607	1605
609	1602
611	1598
613	1595
615	1591
617	1587
619	1584
621	1580
623	1576
625	1573
627	1569
629	1565
631	1562
633	1558
635	1555
637	1552
639	1552
641	1545
643	1545
645	1538
647	1534
649	1531
651	1526
653	1525
655	1520
657	1515
659	1514
661	1510
663	1505
665	1503
667	1499
669	1498
671	1492
673	1490
675	1488
677	1482
679	1479
681	1476
683	1472
685	1472
687	1467
689	1464
691	1460
693	1457
695	1453
697	1449
699	1446
701	1445
703	1440
705	1436
707	1433
709	1430
711	1426
713	1425
715	1420
717	1416
719	1414
721	1410
723	1409
725	1404
727	1402
729	1400
731	1395
733	1393
735	1389
737	1386
739	1383
741	1379
743	1375
745	1373
747	1369
749	1368
751	1363
753	1362
755	1360
757	1356
759	1352
761	1348
763	1345
765	1344
767	1339
769	1337
771	1334
773	1330
775	1328
777	1325
779	1323
781	1317
783	1315
785	1313
787	1310
789	1307
791	1303
793	1299
795	1297
797	1296
799	1290
801	1290
803	1286
805	1283
807	1281
809	1277
811	1274
813	1273
815	1270
817	1266
819	1270
821	1259
823	1256
825	1255
827	1251
829	1248
831	1245
833	1243
835	1239
837	1238
839	1228
841	1232
843	1228
845	1226
847	1223
849	1221
851	1218
853	1216
855	1212
857	1209
859	1201
861	1205
863	1202
865	1200
867	1197
869	1194
871	1190
873	1187
875	1186
877	1184
879	1179
881	1178
883	1176
885	1173
887	1169
889	1168
891	1165
893	1161
895	1154
897	1156
899	1168
901	1150
903	1147
905	1145
907	1144
909	1139
911	1139
913	1137
915	1133
917	1130
919	1128
921	1125
923	1123
925	1120
927	1118
929	1116
931	1112
933	1110
935	1108
937	1105
939	1094
941	1101
943	1099
945	1096
947	1092
949	1089
951	1088
953	1086
955	1083
957	1079
959	1089
961	1076
963	1073
965	1072
967	1067
969	1066
971	1063
973	1060
975	1058
977	1056
979	1052
981	1051
983	1053
985	1044
987	1043
989	1042
991	1040
993	1036
995	1034
997	1032
999	1029
1001	1026
1004	1024
1007	1021
1010	1015
1013	1012
1016	1010
1019	1008
1022	1006
1025	999
1027	997
